                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3823,                 4.5109,                 1.5449,                0.01105,                0.46438,                0.09768,                0.05651,                 1.7013,                 3.4757,                 1.0946,             0.00010002,             0.00010002,             0.00010002
                      2,                 1.6098,                 3.5061,                 1.1382,                0.01378,                0.76765,                0.34752,                0.17813,                 1.2393,                 3.2684,                0.94935,             0.00021564,             0.00021564,             0.00021564
                      3,                 1.2663,                 2.5611,                 1.0256,                0.01677,                0.78594,                0.37465,                0.20296,                 1.2186,                 3.2842,                0.94906,              0.0003301,              0.0003301,              0.0003301
                      4,                 1.2177,                 2.2933,                 1.0571,                 0.0194,                0.76765,                0.36843,                 0.2028,                 1.1539,                 3.2285,                0.94245,             0.00044341,             0.00044341,             0.00044341
                      5,                 1.1579,                 2.1576,                 1.0445,                0.93612,                0.02632,                0.37714,                0.18718,                 1.2285,                 3.1785,                0.97407,             0.00055556,             0.00055556,             0.00055556
                      6,                 1.1934,                 2.0428,                 1.0294,                0.78435,                0.02889,                0.35474,                0.18901,                 1.2705,                 3.0857,                0.98958,             0.00066655,             0.00066655,             0.00066655
                      7,                 1.2881,                 1.8794,                  1.121,                0.74093,                0.07069,                0.22335,                0.12026,                 1.3174,                 3.1295,                 1.0368,              0.0007764,              0.0007764,              0.0007764
                      8,                 1.2122,                 1.7646,                 1.0704,                0.81128,                0.05877,                0.29994,                0.14152,                 1.4568,                 3.2271,                 1.1422,             0.00088508,             0.00088508,             0.00088508
                      9,                 1.1811,                 1.7732,                 1.0522,                0.74914,                0.09369,                 0.4142,                0.23424,                 1.3721,                 2.8613,                 1.0586,             0.00099261,             0.00099261,             0.00099261
                     10,                 1.1678,                 1.5984,                 1.0559,                0.85139,                0.14886,                0.48488,                0.26308,                 1.4706,                 2.8869,                 1.0917,               0.001099,               0.001099,               0.001099
                     11,                 1.1823,                 1.5826,                  1.062,                0.87663,                0.07484,                0.41475,                0.26726,                 1.2997,                 2.9984,                 1.0691,              0.0012042,              0.0012042,              0.0012042
                     12,                 1.1709,                 1.5613,                 1.0457,                0.81628,                 0.1942,                0.37138,                0.22328,                 1.5136,                 2.8445,                 1.2265,              0.0013083,              0.0013083,              0.0013083
                     13,                 1.1977,                 1.4556,                  1.084,                0.80496,                0.39693,                0.60018,                0.37286,                 1.3398,                  2.297,                 1.1052,              0.0014112,              0.0014112,              0.0014112
                     14,                 1.1747,                 1.4589,                 1.0377,                0.73495,                0.52343,                0.62562,                0.38017,                 1.3947,                 2.0809,                 1.1149,              0.0015129,              0.0015129,              0.0015129
                     15,                 1.2035,                 1.4268,                 1.1051,                0.79699,                0.43137,                0.60728,                0.37563,                 1.3525,                 2.3592,                 1.1487,              0.0015515,              0.0015515,              0.0015515
                     16,                 1.2369,                 1.3652,                 1.1038,                 0.7177,                0.67234,                0.76243,                0.46879,                 1.3529,                 1.6098,                 1.1141,              0.0015432,              0.0015432,              0.0015432
                     17,                 1.1327,                 1.3368,                 1.0834,                0.76421,                0.55488,                0.70148,                0.42989,                 1.3671,                 1.6246,                 1.0995,               0.001535,               0.001535,               0.001535
                     18,                  1.093,                 1.2218,                 1.0314,                0.81841,                0.64623,                0.76179,                0.46304,                 1.3329,                 1.4986,                 1.0945,              0.0015267,              0.0015267,              0.0015267
                     19,                  1.115,                 1.2852,                 1.0874,                0.75777,                0.64602,                0.73514,                0.45486,                  1.309,                 1.5911,                 1.0809,              0.0015185,              0.0015185,              0.0015185
                     20,                 1.1458,                 1.2537,                 1.0459,                0.68861,                0.72304,                0.76608,                0.50841,                 1.2309,                 1.4013,                  1.065,              0.0015102,              0.0015102,              0.0015102
                     21,                 1.1622,                 1.2036,                 1.0693,                0.71072,                0.69149,                0.76703,                0.50937,                 1.2224,                 1.4145,                 1.0628,               0.001502,               0.001502,               0.001502
                     22,                 1.1417,                 1.1669,                 1.0635,                 0.7935,                0.62173,                0.72762,                0.45262,                 1.3527,                 1.4701,                 1.0853,              0.0014937,              0.0014937,              0.0014937
                     23,                 1.1104,                 1.0929,                 1.0316,                0.79472,                0.64501,                0.74471,                0.48883,                 1.2332,                 1.3641,                 1.0595,              0.0014855,              0.0014855,              0.0014855
                     24,                 1.1495,                  1.104,                 1.0952,                0.84564,                0.69302,                0.77232,                0.48845,                 1.3157,                  1.334,                 1.0909,              0.0014772,              0.0014772,              0.0014772
                     25,                 1.1199,                 1.0914,                 1.0814,                0.81856,                0.66368,                 0.7643,                0.48731,                 1.2439,                 1.3579,                 1.0703,               0.001469,               0.001469,               0.001469
                     26,                 1.0978,                  1.064,                 1.0447,                 0.8603,                0.65212,                0.75391,                 0.4539,                 1.3525,                  1.263,                 1.1015,              0.0014607,              0.0014607,              0.0014607
                     27,                 1.0962,                 1.0197,                 1.0446,                0.80986,                0.72401,                0.82182,                0.53758,                 1.2665,                 1.1351,                  1.067,              0.0014525,              0.0014525,              0.0014525
                     28,                 1.0527,                0.98952,                 1.0184,                0.84873,                0.69597,                0.82976,                0.54598,                 1.2028,                 1.1057,                 1.0516,              0.0014442,              0.0014442,              0.0014442
                     29,                 1.0792,                0.95931,                 1.0478,                0.85283,                0.70505,                 0.8272,                 0.5469,                 1.2269,                 1.0729,                 1.0551,               0.001436,               0.001436,               0.001436
                     30,                 1.1651,                0.97399,                 1.0607,                0.73687,                0.76543,                0.80888,                0.53393,                 1.2435,                 1.1262,                 1.0666,              0.0014277,              0.0014277,              0.0014277
                     31,                 1.0122,                0.91599,                 1.0229,                 0.7495,                0.70858,                0.79268,                0.51455,                  1.271,                 1.1739,                 1.0908,              0.0014195,              0.0014195,              0.0014195
                     32,                 1.0338,                0.90776,                 1.0136,                 0.8277,                 0.7423,                0.86078,                 0.5616,                 1.2684,                 1.0845,                 1.0758,              0.0014112,              0.0014112,              0.0014112
                     33,                 1.0254,                0.86102,                0.98881,                0.91327,                 0.7394,                0.86591,                0.56214,                 1.2418,                0.96071,                  1.075,              0.0014029,              0.0014029,              0.0014029
                     34,                 1.0088,                0.82437,                 1.0117,                0.85283,                0.74972,                0.84778,                0.55866,                 1.2415,                 1.0011,                 1.0682,              0.0013947,              0.0013947,              0.0013947
                     35,                 1.1257,                 0.8739,                 1.0608,                0.78423,                0.59463,                0.72369,                0.42984,                 1.3938,                 1.4979,                 1.1304,              0.0013864,              0.0013864,              0.0013864
                     36,                 1.0117,                0.87543,                 1.0201,                0.83324,                0.68269,                0.77462,                0.49649,                 1.2462,                 1.2739,                 1.0666,              0.0013782,              0.0013782,              0.0013782
                     37,                 1.0772,                0.84681,                 1.0256,                0.80366,                0.77279,                0.84059,                0.52647,                 1.2994,                 1.0905,                 1.0838,              0.0013699,              0.0013699,              0.0013699
                     38,                 1.0495,                0.83994,                 1.0482,                0.86406,                0.68357,                   0.82,                0.54291,                  1.234,                 1.1616,                 1.0721,              0.0013617,              0.0013617,              0.0013617
                     39,                 1.0504,                0.79663,                 1.0275,                0.89072,                 0.6533,                0.77864,                0.47518,                 1.3976,                 1.2892,                 1.1292,              0.0013534,              0.0013534,              0.0013534
                     40,                 1.0446,                0.79152,                  1.022,                0.84873,                0.73094,                0.79047,                0.51826,                 1.2391,                 1.0852,                 1.0519,              0.0013452,              0.0013452,              0.0013452
                     41,                 0.9996,                 0.7546,                0.99151,                0.85431,                 0.7221,                0.78985,                0.49785,                 1.2718,                 1.0502,                 1.0569,              0.0013369,              0.0013369,              0.0013369
                     42,                 1.0995,                0.79378,                 1.0552,                0.89034,                0.74272,                0.81203,                0.48127,                 1.3733,                 1.0533,                 1.1095,              0.0013287,              0.0013287,              0.0013287
                     43,                 1.0037,                0.76102,                0.98079,                0.88381,                  0.707,                0.81495,                 0.5167,                 1.2756,                 1.0567,                 1.0818,              0.0013204,              0.0013204,              0.0013204
